ID	ID_IN_SOURCE	DOCULECT	DOCULECT_NAME	CONCEPT	CONCEPTICON_ID	VALUE	FORM	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
1	33857	Bantawa	Kiranti_Bantawa	above	1_above	cʰoN	cʰoN	cʰ o ŋ	744	1 7 4	AXN	CUN	1	1.C.C 1.U.V 1.N.c	2.0 1.5 0.8	cʰoŋ	0	1
227	19109	Daofu	rGyalrong_Daofu	above	1_above	rə nkhvɛ	rə nkhvɛ	r ə + n kʰ v ɛ	1310	5 7 9 4 1 3 7	AX_ACCZ	RE_NKBE	3	3.R.C 3.E.V 3._._ 3.N.C 3.K.C 3.B.C 3.E.V	2.0 1.5 0.0 2.0 1.5 1.5 0.8	rə+nkʰvɛ	0	3 4
500	48	Japhug	rGyalrong_Japhug	above	1_above	ɯ-taʁ	ɯ-taʁ	ɯ + t a ʁ	49	7 9 1 7 5	X_AXN	I_TAR	6	6.I.V 6._._ 6.T.C 6.A.V 6.R.c	1.5 0.0 2.0 1.5 0.8	ɯ+taʁ	0	7 8
891	38141	Tangut	Tangut	above	1_above	tɕhjaa	tɕhjaa	tɕʰ j aː	10178	2 6 7	ACX	CJA	17	17.C.C 17.J.C 17.A.V	2.0 1.5 1.5	tɕʰjaː	0	5
1234	31552	WobziKhroskyabs	Khroskyabs_Wobzi	above	1_above	tʰɑ	tʰɑ	tʰ ɑ	49	1 7	AX	TA	19	19.T.C 19.A.V	2.0 1.5	tʰɑ	0	6
1539	21603	Zhaba	Qiangic_Zhaba	above	1_above	ʌ¹³tʂhɿ³³	ʌ¹³tʂhɿ³³	ʌ ¹³ tʂʰ ³³/ɿ	2262	7 8 1 7	XTBZ	E2TI	20	20.E.V 20.2.T 20.T.C 20.I.V	3.0 1.0 1.3 0.7	ʌ¹³tʂʰ³³/ɿ	0	20
1810	21766	MaerkangrGyalrong	rGyalrong_Maerkang	above	1_above	wu prɐi	wu prɐi	w u + p r ɐ i	2290	6 7 9 1 5 7 7	AX_ACXZ	WY_PREI	8	8.W.C 8.Y.V 8._._ 8.P.C 8.R.C 8.E.V 8.I.V	2.0 1.5 0.0 2.0 1.5 1.5 0.8	wu+prɐi	0	10 11
2058	22825	MuyaKangding	Muya-kangding	above	1_above	jɐ̃³³tɕhø⁵³	jɐ̃³³tɕhø⁵³	j ³³/ɐ̃ tɕʰ ⁵³/ø	0	6 7 2 7	AXBZ	JECU	10	10.J.C 10.E.V 10.C.C 10.U.V	2.0 1.5 1.75 0.8	j³³/ɐ̃tɕʰ⁵³/ø	0	13
2059	22826	MuyaKangding	Muya-kangding	above	1_above	tə³³to²⁴	tə³³to²⁴	t ³³/ə t ²⁴/o	0	1 7 1 7	AXBZ	TETU	10	10.T.C 10.E.V 10.T.C 10.U.V	2.0 1.5 1.75 0.8	t³³/ət²⁴/o	0	24
2445		MenyaGao	Menya-Gao	above	1_above	1pu	1pu	¹ p u	0	8 1 7	TBX	6PY	9	9.6.T 9.P.C 9.Y.V	1.0 1.3 3.0	¹pu	0	12
2642	31055	OldBurmese	OldBurmese	above	1_above	ʔa◦thak	ʔa◦thak	ʔ a + tʰ a k	49	1 7 9 1 7 1	AX_AXN	HA_TAK	13	13.H.C 13.A.V 13._._ 13.T.C 13.A.V 13.K.c	2.0 1.5 0.0 2.0 1.5 0.8	ʔa+tʰak	0	16 17
2882	20420	QueyuXinlong	Queyu_Xinlong	above	1_above	je¹³ntɕhə⁵⁵	je¹³ntɕhə⁵⁵	j ¹³/e n tɕʰ ⁵⁵/ə	0	6 7 4 2 7	AXMBZ	JENCE	15	15.J.C 15.E.V 15.N.c 15.C.C 15.E.V	2.0 1.5 1.1 1.75 0.8	j¹³/entɕʰ⁵⁵/ə	0	13
3167		QueyuPubarong	Queyu_pubarong	above	1_above	kʰō	kʰō	kʰ ō/o	0	1 7	AX	KU	14	14.K.C 14.U.V	2.0 1.5	kʰō/o	0	18
3419	38797	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	above	1_above	tʰɑ	tʰɑ	tʰ ɑ	0	1 7	AX	TA	16	16.T.C 16.A.V	2.0 1.5	tʰɑ	0	6
3745		BragbarSitu	Bragbar Situ	above	1_above	rkiɛ̂	rkiɛ̂	r k i ɛ̂/ɛ	0	5 1 7 7	ACYZ	RKIE	2	2.R.C 2.K.C 2.I.V 2.E.V	2.0 1.5 1.3 0.8	rkiɛ̂/ɛ	0	2
3746		BragbarSitu	Bragbar Situ	above	1_above	ta-tō	ta-tō	t a + t ō/o	0	1 7 9 1 7	AX_AX	TA_TU	2	2.T.C 2.A.V 2._._ 2.T.C 2.U.V	2.0 1.5 0.0 2.0 1.5	ta+tō/o	0	6 22
3747		BragbarSitu	Bragbar Situ	above	1_above	a-tiɛ̄	a-tiɛ̄	a + t i ɛ̄/ɛ	0	7 9 1 7 7	X_AXZ	A_TIE	2	2.A.V 2._._ 2.T.C 2.I.V 2.E.V	1.5 0.0 2.0 1.5 0.8	a+tiɛ̄/ɛ	0	6 26
4288		Geshiza	Geshiza	above	1_above	tɕʰa	tɕʰa	tɕʰ a	0	2 7	AX	CA	4	4.C.C 4.A.V	2.0 1.5	tɕʰa	0	5
4373		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	above	1_above	tʰa⁵³	tʰa⁵³	tʰ ⁵³/a	0	1 7	AX	TA	5	5.T.C 5.A.V	2.0 1.5	tʰ⁵³/a	0	6
4374		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	above	1_above	ə³³mgo⁵³	ə³³mgo⁵³	ə ³³ m g ⁵³/o	0	7 8 4 1 7	XTMBZ	E4MKU	5	5.E.V 5.4.T 5.M.c 5.K.C 5.U.V	3.0 1.0 1.1 1.3 0.7	ə³³mg⁵³/o	0	23
4375		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	above	1_above	ʁɑ⁵³χcçəl³³	ʁɑ⁵³χcçəl³³	ʁ ⁵³/ɑ χ c ç ə ³³/l	0	5 7 3 1 3 7 5	AXMBCYN	RAGCSEL	5	5.R.C 5.A.V 5.G.c 5.C.C 5.S.C 5.E.V 5.L.c	2.0 1.5 1.1 1.75 1.5 1.3 0.8	ʁ⁵³/ɑχcçə³³/l	0	27
4376		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	above	1_above	ru⁵⁵tʰa³³	ru⁵⁵tʰa³³	r ⁵⁵/u tʰ ³³/a	0	5 7 1 7	AXBZ	RYTA	5	5.R.C 5.Y.V 5.T.C 5.A.V	2.0 1.5 1.75 0.8	r⁵⁵/utʰ³³/a	0	6
4377		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	above	1_above	ru⁵⁵tse⁵⁵tʰa³³	ru⁵⁵tse⁵⁵tʰa³³	r ⁵⁵/u ts ⁵⁵/e tʰ ³³/a	0	5 7 2 7 1 7	AXBYBZ	RYCETA	5	5.R.C 5.Y.V 5.C.C 5.E.V 5.T.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	r⁵⁵/uts⁵⁵/etʰ³³/a	0	6
4378		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	above	1_above	ɕa⁵⁵ru³³la³³	ɕa⁵⁵ru³³la³³	ɕ ⁵⁵/a r ³³/u l ³³/a	0	3 7 5 7 5 7	AXBYBZ	SARYLA	5	5.S.C 5.A.V 5.R.C 5.Y.V 5.L.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	ɕ⁵⁵/ar³³/ul³³/a	0	15
4379		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	above	1_above	χa⁵⁵ru³³la³³	χa⁵⁵ru³³la³³	χ ⁵⁵/a r ³³/u l ³³/a	0	3 7 5 7 5 7	AXBYBZ	GARYLA	5	5.G.C 5.A.V 5.R.C 5.Y.V 5.L.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	χ⁵⁵/ar³³/ul³³/a	0	15
4758		NjorogsKhroskyabs	Njorogs_Khroskyabs	above	1_above	ɕa³³rus⁵⁵	ɕa³³rus⁵⁵	ɕ ³³/a r u ⁵⁵/s	0	3 7 5 7 3	AXBYN	SARYS	12	12.S.C 12.A.V 12.R.C 12.Y.V 12.S.c	2.0 1.5 1.75 1.3 0.8	ɕ³³/aru⁵⁵/s	0	15
4785		NjorogsKhroskyabs	Njorogs_Khroskyabs	above	1_above	ə³³rus⁵⁵	ə³³rus⁵⁵	ə ³³ r u ⁵⁵/s	0	7 8 5 7 3	XTBYN	E4RYS	12	12.E.V 12.4.T 12.R.C 12.Y.V 12.S.c	3.0 1.0 1.3 3.0 0.5	ə³³ru⁵⁵/s	0	25
4786		NjorogsKhroskyabs	Njorogs_Khroskyabs	above	1_above	ə³³tʰa⁵³	ə³³tʰa⁵³	ə ³³ tʰ ⁵³/a	0	7 8 1 7	XTBZ	E4TA	12	12.E.V 12.4.T 12.T.C 12.A.V	3.0 1.0 1.3 0.7	ə³³tʰ⁵³/a	0	20
5288		Tshobdun	Tshobdun	above	1_above	ʃə́ta	ʃə́ta	ʃ ə́/ə t a	0	3 7 1 7	AXBZ	SETA	18	18.S.C 18.E.V 18.T.C 18.A.V	2.0 1.5 1.75 0.8	ʃə́/əta	0	19
5607		NgyaltsuZbu	Ngyaltsu Zbu	above	1_above	və-tɐ̂ʁ	və-tɐ̂ʁ	v ə + t ɐ̂/ɐ ʁ	0	3 7 9 1 7 5	AX_AXN	BE_TER	11	11.B.C 11.E.V 11._._ 11.T.C 11.E.V 11.R.c	2.0 1.5 0.0 2.0 1.5 0.8	və+tɐ̂/ɐʁ	0	14 8
5940		Zlarong	Zlarong	above	1_above	wɔ55ti55	wɔ55ti55	w ⁵⁵/ɔ t ⁵⁵/i	0	6 7 1 7	AXBZ	WUTI	21	21.W.C 21.U.V 21.T.C 21.I.V	2.0 1.5 1.75 0.8	w⁵⁵/ɔt⁵⁵/i	0	21
5954		KyomkyoSitu	Kyomkyo_Situ	above	1_above	tərka	tərka	t ə r k a	0	1 7 5 1 7	AXMBZ	TERKA	7	7.T.C 7.E.V 7.R.c 7.K.C 7.A.V	2.0 1.5 1.1 1.75 0.8	tərka	0	9
2	33858	Bantawa	Kiranti_Bantawa	all	2_all	jamm@y	jamm@y	j a m m æ y	6522	6 7 4 4 7 7	AXMBYZ	JAMMEY	1	1.J.C 1.A.V 1.M.c 1.M.C 1.E.V 1.Y.V	2.0 1.5 1.1 1.75 1.3 0.8	jammæy	0	41
228	19256	Daofu	rGyalrong_Daofu	all	2_all	thəm tɕɛ	thəm tɕɛ	tʰ ə m + tɕ ɛ	3682	1 7 4 9 2 7	AXN_AX	TEM_CE	3	3.T.C 3.E.V 3.M.c 3._._ 3.C.C 3.E.V	2.0 1.5 0.8 0.0 2.0 1.5	tʰəm+tɕɛ	0	43 44
501	101	Japhug	rGyalrong_Japhug	all	2_all	tʰamtɕɤt	tʰamtɕɤt	tʰ a m tɕ ɤ t	3682	1 7 4 2 7 1	AXMBYN	TAMCET	6	6.T.C 6.A.V 6.M.c 6.C.C 6.E.V 6.T.c	2.0 1.5 1.1 1.75 1.3 0.8	tʰamtɕɤt	0	43
502	25848	Japhug	rGyalrong_Japhug	all	2_all	lonba	lonba	l o n b a	1275	5 7 4 1 7	AXMBZ	LUNPA	6	6.L.C 6.U.V 6.N.c 6.P.C 6.A.V	2.0 1.5 1.1 1.75 0.8	lonba	0	62
892	38176	Tangut	Tangut	all	2_all	zji	zji	z j i	0	3 6 7	ACX	SJI	17	17.S.C 17.J.C 17.I.V	2.0 1.5 1.5	zji	0	56
893	105	Tangut	Tangut	all	2_all	zji¹	zji¹	z j ¹/i	0	3 6 7	ACX	SJI	17	17.S.C 17.J.C 17.I.V	2.0 1.5 1.5	zj¹/i	0	56
894	38196	Tangut	Tangut	all	2_all	rjur	rjur	r j u r	0	5 6 7 5	ACXN	RJYR	17	17.R.C 17.J.C 17.Y.V 17.R.c	2.0 1.5 1.5 0.8	rjur	0	69
1235	31553	WobziKhroskyabs	Khroskyabs_Wobzi	all	2_all	pâ	pâ	p â/a	5037	1 7	AX	PA	19	19.P.C 19.A.V	2.0 1.5	pâ/a	0	58
1540	21749	Zhaba	Qiangic_Zhaba	all	2_all	jo³³dzo⁵⁵	jo³³dzo⁵⁵	j ³³/o d z ⁵⁵/o	4514	6 7 1 3 7	AXBCZ	JUTSU	20	20.J.C 20.U.V 20.T.C 20.S.C 20.U.V	2.0 1.5 1.75 1.5 0.8	j³³/odz⁵⁵/o	0	59
1811	17994	MaerkangrGyalrong	rGyalrong_Maerkang	all	2_all	kə tʃᴇt	kə tʃᴇt	k ə + tʃ ɛ t	3969	1 7 9 1 7 1	AX_AXN	KE_TET	8	8.K.C 8.E.V 8._._ 8.T.C 8.E.V 8.T.c	2.0 1.5 0.0 2.0 1.5 0.8	kə+tʃɛt	0	47 48
2060	21476	MuyaKangding	Muya-kangding	all	2_all	me³³me⁵⁵	me³³me⁵⁵	m ³³/e m ⁵⁵/e	0	4 7 4 7	AXBZ	MEME	10	10.M.C 10.E.V 10.M.C 10.E.V	2.0 1.5 1.75 0.8	m³³/em⁵⁵/e	0	49
2568		MenyaGao	Menya-Gao	all	2_all	2meme	2meme	² m e m e	0	8 4 7 4 7	TBXBZ	6MEME	9	9.6.T 9.M.C 9.E.V 9.M.C 9.E.V	1.0 1.3 3.0 1.3 0.7	²meme	0	49
2643	31056	OldBurmese	OldBurmese	all	2_all	ʔa◦kun	ʔa◦kun	ʔ a + k u n	3899	1 7 9 1 7 4	AX_AXN	HA_KYN	13	13.H.C 13.A.V 13._._ 13.K.C 13.Y.V 13.N.c	2.0 1.5 0.0 2.0 1.5 0.8	ʔa+kun	0	52 47
2883	20581	QueyuXinlong	Queyu_Xinlong	all	2_all	tə⁵⁵ɬye⁵⁵	tə⁵⁵ɬye⁵⁵	t ⁵⁵/ə ɬ y ⁵⁵/e	0	1 7 5 7 7	AXBYZ	TELYE	15	15.T.C 15.E.V 15.L.C 15.Y.V 15.E.V	2.0 1.5 1.75 1.3 0.8	t⁵⁵/əɬy⁵⁵/e	0	54
3296		QueyuPubarong	Queyu_pubarong	all	2_all	tɕjālæ	tɕjālæ	tɕ j ā/a l æ	0	2 6 7 5 7	ACXBZ	CJALE	14	14.C.C 14.J.C 14.A.V 14.L.C 14.E.V	2.0 1.5 1.5 1.75 0.8	tɕjā/alæ	0	53
3420	38798	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	all	2_all	tsʰôŋmu	tsʰôŋmu	tsʰ ô/o ŋ m u	0	2 7 4 4 7	AXMBZ	CUNMY	16	16.C.C 16.U.V 16.N.c 16.M.C 16.Y.V	2.0 1.5 1.1 1.75 0.8	tsʰô/oŋmu	0	55
3421	38799	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	all	2_all	tʰæ̂mtɕʰæd	tʰæ̂mtɕʰæd	tʰ æ̂/æ m tɕʰ æ d	0	1 7 4 2 7 1	AXMBYN	TEMCET	16	16.T.C 16.E.V 16.M.c 16.C.C 16.E.V 16.T.c	2.0 1.5 1.1 1.75 1.3 0.8	tʰæ̂/æmtɕʰæd	0	43
3422	38800	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	all	2_all	ɕærɕæ̂r	ɕærɕæ̂r	ɕ æ r ɕ æ̂/æ r	0	3 7 5 3 7 5	AXMBYN	SERSER	16	16.S.C 16.E.V 16.R.c 16.S.C 16.E.V 16.R.c	2.0 1.5 1.1 1.75 1.3 0.8	ɕærɕæ̂/ær	0	68
3423	38801	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	all	2_all	ftɕɑmɑ̂	ftɕɑmɑ̂	f tɕ ɑ m ɑ̂	0	3 2 7 4 7	ACYBZ	BCAMA	16	16.B.C 16.C.C 16.A.V 16.M.C 16.A.V	2.0 1.5 1.3 1.75 0.8	ftɕɑmɑ̂	0	71
3424	38802	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	all	2_all	tæ̂r	tæ̂r	t æ̂/æ r	0	1 7 5	AXN	TER	16	16.T.C 16.E.V 16.R.c	2.0 1.5 0.8	tæ̂/ær	0	72
3425	38803	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	all	2_all	mæ̂d	mæ̂d	m æ̂/æ d	0	4 7 1	AXN	MET	16	16.M.C 16.E.V 16.T.c	2.0 1.5 0.8	mæ̂/æd	0	73
3426	38804	SiyuewuKhroskyabs	Siyuewu_Khroskyabs	all	2_all	rlæ̂ʁ	rlæ̂ʁ	r l æ̂/æ ʁ	0	5 5 7 5	ACYN	RLER	16	16.R.C 16.L.C 16.E.V 16.R.c	2.0 1.5 1.3 0.8	rlæ̂/æʁ	0	74
3748		BragbarSitu	Bragbar Situ	all	2_all	kəʑē	kəʑē	k ə ʑ ē/e	0	1 7 3 7	AXBZ	KESE	2	2.K.C 2.E.V 2.S.C 2.E.V	2.0 1.5 1.75 0.8	kəʑē/e	0	42
3749		BragbarSitu	Bragbar Situ	all	2_all	stamtɕhāt	stamtɕhāt	s t a m tɕʰ ā/a t	0	3 1 7 4 2 7 1	ACYMBYN	STAMCAT	2	2.S.C 2.T.C 2.A.V 2.M.c 2.C.C 2.A.V 2.T.c	2.0 1.5 1.3 1.1 1.75 1.3 0.8	stamtɕʰā/at	0	43
4070		Geshiza	Geshiza	all	2_all	æqɛ	æqɛ	æ q ɛ	0	7 1 7	XBZ	EKE	4	4.E.V 4.K.C 4.E.V	1.5 1.75 0.8	æqɛ	0	45
4111		Geshiza	Geshiza	all	2_all	gru	gru	g r u	0	1 5 7	ACX	KRY	4	4.K.C 4.R.C 4.Y.V	2.0 1.5 1.5	gru	0	61
4282		Geshiza	Geshiza	all	2_all	stæ	stæ	s t æ	0	3 1 7	ACZ	STE	4	4.S.C 4.T.C 4.E.V	2.0 1.5 0.8	stæ	0	66
4292		Geshiza	Geshiza	all	2_all	tʰæmtɕæ	tʰæmtɕæ	tʰ æ m tɕ æ	0	1 7 4 2 7	AXMBZ	TEMCE	4	4.T.C 4.E.V 4.M.c 4.C.C 4.E.V	2.0 1.5 1.1 1.75 0.8	tʰæmtɕæ	0	70
4380		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	all	2_all	tɛ³³tə⁵⁵	tɛ³³tə⁵⁵	t ³³/ɛ t ⁵⁵/ə	0	1 7 1 7	AXBZ	TETE	5	5.T.C 5.E.V 5.T.C 5.E.V	2.0 1.5 1.75 0.8	t³³/ɛt⁵⁵/ə	0	46
4381		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	all	2_all	pɑ⁵³	pɑ⁵³	p ⁵³/ɑ	0	1 7	AX	PA	5	5.P.C 5.A.V	2.0 1.5	p⁵³/ɑ	0	58
4382		GuanyinqiaoKhroskyabs	Guanyinqiao_Khroskyabs	all	2_all	xcçʰə³³fcçʰə⁵³	xcçʰə³³fcçʰə⁵³	x c çʰ ³³/ə f c çʰ ⁵³/ə	0	3 1 3 7 3 1 3 7	ACCYMBCZ	GCSEBCSE	5	5.G.C 5.C.C 5.S.C 5.E.V 5.B.c 5.C.C 5.S.C 5.E.V	2.0 1.5 1.5 1.3 1.1 1.75 1.5 0.8	xcçʰ³³/əfcçʰ⁵³/ə	0	67
4746		NjorogsKhroskyabs	Njorogs_Khroskyabs	all	2_all	boq⁵⁵	boq⁵⁵	b o ⁵⁵/q	0	1 7 1	AXN	PUK	12	12.P.C 12.U.V 12.K.c	2.0 1.5 0.8	bo⁵⁵/q	0	51
5033		NjorogsKhroskyabs	Njorogs_Khroskyabs	all	2_all	vde³³vde⁵³	vde³³vde⁵³	v d ³³/e v d ⁵³/e	0	3 1 7 3 1 7	ACYMBZ	BTEBTE	12	12.B.C 12.T.C 12.E.V 12.B.c 12.T.C 12.E.V	2.0 1.5 1.3 1.1 1.75 0.8	vd³³/evd⁵³/e	0	64
5141		Tshobdun	Tshobdun	all	2_all	mɐ́lɐj	mɐ́lɐj	m ɐ́/ɐ l ɐ j	0	4 7 5 7 6	AXBYN	MELEJ	18	18.M.C 18.E.V 18.L.C 18.E.V 18.J.c	2.0 1.5 1.75 1.3 0.8	mɐ́/ɐlɐj	0	57
5143		Tshobdun	Tshobdun	all	2_all	mdiʔ	mdiʔ	m d i ʔ	0	4 1 7 1	ACYN	MTIH	18	18.M.C 18.T.C 18.I.V 18.H.c	2.0 1.5 1.3 0.8	mdiʔ	0	65
5313		Tshobdun	Tshobdun	all	2_all	tʰɐmtʃet	tʰɐmtʃet	tʰ ɐ m tʃ e t	0	1 7 4 1 7 1	AXMBYN	TEMTET	18	18.T.C 18.E.V 18.M.c 18.T.C 18.E.V 18.T.c	2.0 1.5 1.1 1.75 1.3 0.8	tʰɐmtʃet	0	43
